18S_rRNA,18S_rRNA.1,DOID:9643,Babesiosis,7.164,3.582,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9643
18S_rRNA,18S_rRNA,DOID:10652,Alzheimer's disease,3.52,1.76,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:10652
28S_rRNA,28S_rRNA,DOID:10652,Alzheimer's disease,1.95,0.975,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:10652
45S_rRNA,45S_rRNA,DOID:10652,Alzheimer's disease,1.015,0.507,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=45S_rRNA&type2=-26&id2=DOID:10652
7SK,7SK,DOID:10652,Alzheimer's disease,1.026,0.513,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=7SK&type2=-26&id2=DOID:10652
AC099552.4,AC099552.4,DOID:10652,Alzheimer's disease,1.99,0.995,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC099552.4&type2=-26&id2=DOID:10652
AP000265.1,AP000265.1,DOID:10652,Alzheimer's disease,1.609,0.805,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AP000265.1&type2=-26&id2=DOID:10652
ATXN8OS,ATXN8OS,DOID:10652,Alzheimer's disease,2.274,1.137,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ATXN8OS&type2=-26&id2=DOID:10652
BACE1-AS,BACE1-AS,DOID:10652,Alzheimer's disease,4.753,2.376,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BACE1-AS&type2=-26&id2=DOID:10652
BCYRN1,BCYRN1,DOID:10652,Alzheimer's disease,3.646,1.823,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BCYRN1&type2=-26&id2=DOID:10652
BDNF-AS,BDNF-AS,DOID:10652,Alzheimer's disease,3.126,1.563,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BDNF-AS&type2=-26&id2=DOID:10652
BIRC6-AS2,BIRC6-AS2,DOID:10652,Alzheimer's disease,1.675,0.837,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BIRC6-AS2&type2=-26&id2=DOID:10652
BZRAP1-AS1,BZRAP1-AS1,DOID:10652,Alzheimer's disease,2.132,1.066,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BZRAP1-AS1&type2=-26&id2=DOID:10652
C1orf132,C1orf132,DOID:10652,Alzheimer's disease,1.193,0.597,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C1orf132&type2=-26&id2=DOID:10652
C20orf203,C20orf203,DOID:10652,Alzheimer's disease,1.86,0.93,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C20orf203&type2=-26&id2=DOID:10652
CDKN2B-AS1,CDKN2B-AS1,DOID:10652,Alzheimer's disease,2.906,1.453,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CDKN2B-AS1&type2=-26&id2=DOID:10652
CDR1-AS,CDR1-AS,DOID:10652,Alzheimer's disease,3.448,1.724,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CDR1-AS&type2=-26&id2=DOID:10652
CRHR1-IT1,CRHR1-IT1,DOID:10652,Alzheimer's disease,1.301,0.65,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CRHR1-IT1&type2=-26&id2=DOID:10652
DALIR,DALIR,DOID:10652,Alzheimer's disease,1.02,0.51,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DALIR&type2=-26&id2=DOID:10652
