18S_rRNA,18S_rRNA.1,DOID:9643,Babesiosis,7.240,3.620,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9643
18S_rRNA,18S_rRNA,DOID:10652,Alzheimer's disease,3.961,1.98,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:10652
28S_rRNA,28S_rRNA,DOID:10652,Alzheimer's disease,2.547,1.273,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:10652
45S_rRNA,45S_rRNA,DOID:10652,Alzheimer's disease,1.463,0.732,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=45S_rRNA&type2=-26&id2=DOID:10652
7SK,7SK,DOID:10652,Alzheimer's disease,2.21,1.105,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=7SK&type2=-26&id2=DOID:10652
AC074212.6,AC074212.6,DOID:10652,Alzheimer's disease,1.135,0.567,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC074212.6&type2=-26&id2=DOID:10652
AC099552.4,AC099552.4,DOID:10652,Alzheimer's disease,2.229,1.115,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC099552.4&type2=-26&id2=DOID:10652
AC124944.3,AC124944.3,DOID:10652,Alzheimer's disease,1.723,0.862,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC124944.3&type2=-26&id2=DOID:10652
AC131056.3,AC131056.3,DOID:10652,Alzheimer's disease,1.053,0.527,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC131056.3&type2=-26&id2=DOID:10652
AIRN,AIRN,DOID:10652,Alzheimer's disease,1.89,0.945,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AIRN&type2=-26&id2=DOID:10652
AP000265.1,AP000265.1,DOID:10652,Alzheimer's disease,1.759,0.88,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AP000265.1&type2=-26&id2=DOID:10652
AQP4-AS1,AQP4-AS1,DOID:10652,Alzheimer's disease,1.049,0.524,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AQP4-AS1&type2=-26&id2=DOID:10652
ATXN8OS,ATXN8OS,DOID:10652,Alzheimer's disease,2.212,1.106,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ATXN8OS&type2=-26&id2=DOID:10652
BACE1-AS,BACE1-AS,DOID:10652,Alzheimer's disease,5.05,2.525,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BACE1-AS&type2=-26&id2=DOID:10652
BCYRN1,BCYRN1,DOID:10652,Alzheimer's disease,3.91,1.955,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BCYRN1&type2=-26&id2=DOID:10652
BDNF-AS,BDNF-AS,DOID:10652,Alzheimer's disease,3.635,1.817,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BDNF-AS&type2=-26&id2=DOID:10652
BIRC6-AS2,BIRC6-AS2,DOID:10652,Alzheimer's disease,1.425,0.712,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BIRC6-AS2&type2=-26&id2=DOID:10652
BRE-AS1,BRE-AS1,DOID:10652,Alzheimer's disease,1.219,0.609,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BRE-AS1&type2=-26&id2=DOID:10652
BZRAP1-AS1,BZRAP1-AS1,DOID:10652,Alzheimer's disease,2.41,1.205,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BZRAP1-AS1&type2=-26&id2=DOID:10652
C1orf132,C1orf132,DOID:10652,Alzheimer's disease,1.462,0.731,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C1orf132&type2=-26&id2=DOID:10652
CCAT1,CCAT1,DOID:10652,Alzheimer's disease,1.301,0.65,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CCAT1&type2=-26&id2=DOID:10652
CDKN2B-AS1,CDKN2B-AS1,DOID:10652,Alzheimer's disease,3.431,1.715,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CDKN2B-AS1&type2=-26&id2=DOID:10652
CDR1-AS,CDR1-AS,DOID:10652,Alzheimer's disease,4.097,2.048,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CDR1-AS&type2=-26&id2=DOID:10652
CERS6-AS1,CERS6-AS1,DOID:10652,Alzheimer's disease,1.192,0.596,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CERS6-AS1&type2=-26&id2=DOID:10652
CH507-513H4.4,CH507-513H4.4,DOID:10652,Alzheimer's disease,1.368,0.684,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CH507-513H4.4&type2=-26&id2=DOID:10652
CRHR1-IT1,CRHR1-IT1,DOID:10652,Alzheimer's disease,1.734,0.867,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CRHR1-IT1&type2=-26&id2=DOID:10652
CRNDE,CRNDE,DOID:10652,Alzheimer's disease,1.45,0.725,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CRNDE&type2=-26&id2=DOID:10652
CSTF3-AS1,CSTF3-AS1,DOID:10652,Alzheimer's disease,1.031,0.515,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CSTF3-AS1&type2=-26&id2=DOID:10652
CTB-186G2.1,CTB-186G2.1,DOID:10652,Alzheimer's disease,1.031,0.515,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CTB-186G2.1&type2=-26&id2=DOID:10652
CTD-2533K21.4,CTD-2533K21.4,DOID:10652,Alzheimer's disease,1.424,0.712,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CTD-2533K21.4&type2=-26&id2=DOID:10652
DANCR,DANCR,DOID:10652,Alzheimer's disease,1.169,0.585,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DANCR&type2=-26&id2=DOID:10652
DCTN1-AS1,DCTN1-AS1,DOID:10652,Alzheimer's disease,2.198,1.099,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DCTN1-AS1&type2=-26&id2=DOID:10652
DCUN1D2-AS,DCUN1D2-AS,DOID:10652,Alzheimer's disease,1.031,0.515,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DCUN1D2-AS&type2=-26&id2=DOID:10652
DGCR5,DGCR5,DOID:10652,Alzheimer's disease,1.54,0.77,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DGCR5&type2=-26&id2=DOID:10652
DISC2,DISC2,DOID:10652,Alzheimer's disease,2.279,1.14,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DISC2&type2=-26&id2=DOID:10652
DKFZP434H168,DKFZP434H168,DOID:10652,Alzheimer's disease,1.35,0.675,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DKFZP434H168&type2=-26&id2=DOID:10652
DLEU2,DLEU2,DOID:10652,Alzheimer's disease,1.586,0.793,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DLEU2&type2=-26&id2=DOID:10652
DLG2-AS1,DLG2-AS1,DOID:10652,Alzheimer's disease,1.776,0.888,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DLG2-AS1&type2=-26&id2=DOID:10652
DLX6-AS1,DLX6-AS1,DOID:10652,Alzheimer's disease,2.495,1.248,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DLX6-AS1&type2=-26&id2=DOID:10652
ENSP00000000412,M6PR,DOID:10652,Alzheimer's disease,2.533,1.266,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000000412&type2=-26&id2=DOID:10652
ENSP00000001008,FKBP4,DOID:10652,Alzheimer's disease,3.902,1.951,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000001008&type2=-26&id2=DOID:10652
ENSP00000001146,CYP26B1,DOID:10652,Alzheimer's disease,2.224,1.112,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000001146&type2=-26&id2=DOID:10652
ENSP00000002125,NDUFAF7,DOID:10652,Alzheimer's disease,2.041,1.02,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000002125&type2=-26&id2=DOID:10652
ENSP00000002165,FUCA2,DOID:10652,Alzheimer's disease,1.241,0.621,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000002165&type2=-26&id2=DOID:10652
ENSP00000002596,HS3ST1,DOID:10652,Alzheimer's disease,3.07,1.535,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000002596&type2=-26&id2=DOID:10652
ENSP00000002829,SEMA3F,DOID:10652,Alzheimer's disease,2.894,1.447,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000002829&type2=-26&id2=DOID:10652
ENSP00000003084,CFTR,DOID:10652,Alzheimer's disease,3.856,1.928,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000003084&type2=-26&id2=DOID:10652
ENSP00000003100,CYP51A1,DOID:10652,Alzheimer's disease,2.837,1.419,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000003100&type2=-26&id2=DOID:10652
ENSP00000003302,USP28,DOID:10652,Alzheimer's disease,1.729,0.865,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000003302&type2=-26&id2=DOID:10652
ENSP00000004531,SLC7A2,DOID:10652,Alzheimer's disease,1.917,0.958,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000004531&type2=-26&id2=DOID:10652
ENSP00000004982,HSPB6,DOID:10652,Alzheimer's disease,3.425,1.712,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000004982&type2=-26&id2=DOID:10652
ENSP00000005178,PDK4,DOID:10652,Alzheimer's disease,3.13,1.565,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000005178&type2=-26&id2=DOID:10652
ENSP00000005257,RALA,DOID:10652,Alzheimer's disease,3.008,1.504,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000005257&type2=-26&id2=DOID:10652
ENSP00000005284,CACNG3,DOID:10652,Alzheimer's disease,2.479,1.239,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000005284&type2=-26&id2=DOID:10652
ENSP00000005340,DVL2,DOID:10652,Alzheimer's disease,2.633,1.316,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000005340&type2=-26&id2=DOID:10652
ENSP00000005386,RPAP3,DOID:10652,Alzheimer's disease,1.084,0.542,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000005386&type2=-26&id2=DOID:10652
ENSP00000005587,SKAP2,DOID:10652,Alzheimer's disease,1.385,0.692,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000005587&type2=-26&id2=DOID:10652
ENSP00000005995,PRSS21,DOID:10652,Alzheimer's disease,1.341,0.671,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000005995&type2=-26&id2=DOID:10652
ENSP00000006053,CX3CL1,DOID:10652,Alzheimer's disease,5.232,2.616,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000006053&type2=-26&id2=DOID:10652
ENSP00000006275,TRAPPC6A,DOID:10652,Alzheimer's disease,2.97,1.485,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000006275&type2=-26&id2=DOID:10652
ENSP00000006777,RHBDD2,DOID:10652,Alzheimer's disease,1.368,0.684,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000006777&type2=-26&id2=DOID:10652
