18S_rRNA,18S_rRNA.1,DOID:9643,Babesiosis,7.240,3.620,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9643
BACE1-AS,BACE1-AS,DOID:10652,Alzheimer's disease,5.05,2.525,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BACE1-AS&type2=-26&id2=DOID:10652
BCYRN1,BCYRN1,DOID:10652,Alzheimer's disease,3.91,1.955,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BCYRN1&type2=-26&id2=DOID:10652
ENSP00000012049,QPCTL,DOID:10652,Alzheimer's disease,3.021,1.511,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000012049&type2=-26&id2=DOID:10652
ENSP00000075120,SLC2A3,DOID:10652,Alzheimer's disease,4.714,2.357,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000075120&type2=-26&id2=DOID:10652
ENSP00000168216,HSD17B10,DOID:10652,Alzheimer's disease,4.403,2.201,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000168216&type2=-26&id2=DOID:10652
ENSP00000198536,PILRA,DOID:10652,Alzheimer's disease,3.856,1.928,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000198536&type2=-26&id2=DOID:10652
ENSP00000199447,NME8,DOID:10652,Alzheimer's disease,4.234,2.117,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000199447&type2=-26&id2=DOID:10652
ENSP00000200676,CETP,DOID:10652,Alzheimer's disease,3.965,1.982,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000200676&type2=-26&id2=DOID:10652
ENSP00000216487,RIN3,DOID:10652,Alzheimer's disease,4.421,2.211,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000216487&type2=-26&id2=DOID:10652
ENSP00000216629,BDKRB1,DOID:10652,Alzheimer's disease,3.214,1.607,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000216629&type2=-26&id2=DOID:10652
ENSP00000216862,CYP24A1,DOID:10652,Alzheimer's disease,3.56,1.78,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000216862&type2=-26&id2=DOID:10652
ENSP00000217971,PGRMC1,DOID:10652,Alzheimer's disease,3.708,1.854,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000217971&type2=-26&id2=DOID:10652
ENSP00000221891,APLP1,DOID:10652,Alzheimer's disease,5.539,2.77,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000221891&type2=-26&id2=DOID:10652
ENSP00000222330,GSK3A,DOID:10652,Alzheimer's disease,5.359,2.679,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000222330&type2=-26&id2=DOID:10652
ENSP00000225941,ABI3,DOID:10652,Alzheimer's disease,4.297,2.149,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000225941&type2=-26&id2=DOID:10652
ENSP00000233535,SLC30A3,DOID:10652,Alzheimer's disease,4.659,2.329,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000233535&type2=-26&id2=DOID:10652
ENSP00000236850,APOA1,DOID:10652,Alzheimer's disease,5.096,2.548,https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000236850&type2=-26&id2=DOID:10652
